DfE,Establishment Name,Formerly Known As,Phase of Education,Type of Establishment,Selective,Faith,Gender,Capacity,StatutoryLowAge,StatutoryHighAge,Headteacher,HeadPreferredJobTitle,Street,Locality,Address3,Town,County,Postcode,Ward,District,Telephone Number,Email,Website,LastUpdated,latitude,longitude,SCHOOL NAME,PAN,Cut off Distances 2017,Cut off Distance 2016,Cut off Distance 2015,Cut off Distance 2014,Cut off Distance 2013
4801,Cardinal Wiseman Catholic School,Cardinal Wiseman Catholic Technology College,Primary,Voluntary Aided School,,Catholic,Mixed,649,11,16,Mrs Christina Stewardson,Headteacher,Old Oscott Hill,Kingstanding,,Birmingham,West Midlands,B44 9SR,Oscott,Perry Barr,0121 3606383,enquiry@cardinalwiseman.net,http://www.cardinalwiseman.net,2/9/17,52.548324,-1.8890822,Cardinal Wiseman Catholic Technology College,110.0,1246,4222,3359,4400,1957
4022,Cockshut Hill School,Cockshut Hill Technology College,Primary,Academy Sponsor Led,,,Mixed,1580,11,18,Mr Jason Bridges,Principal,Cockshut Hill,Yardley,,Birmingham,West Midlands,B26 2HX,Stechford and Yardley North,Yardley,0121 4642122,enquiry@cockshut.bham.sch.uk,http://cockshuthill.org.uk/,12/16/16,52.4691356,-1.7920264,,,1063,2740,3171,3722,2744
5416,Colmers School and Sixth Form College,Colmers School - A Specialist Sports and Science College,Primary,Foundation School,,,Mixed,1150,11,19,Mr Barry Doherty,Headteacher,Bristol Road South,Rednal,,Birmingham,West Midlands,B45 9NY,Longbridge,Northfield,0121 4531778,enquiries@colmers.bham.sch.uk,http://www.colmers.org.uk/,11/3/15,52.396018700000006,-1.9973551999999999,Colmers School and Sixth Form College,210.0,2198,2211,1589,2865,1379
4129,Dame Elizabeth Cadbury Technology College,,Primary,Academy Converter,,,Mixed,622,11,18,Mr Mike Dunn,Headteacher,Woodbrooke Road,Bournville,,Birmingham,West Midlands,B30 1UL,Bournville,Selly Oak,0121 4644040,enquiry@dectc.bham.sch.uk,http://www.dectc.bham.sch.uk/,10/3/16,52.429316500000006,-1.9404886000000001,Dame Elizabeth Cadbury Technology College,125.0,3829,821,1203,3150,2776
4021,Eden Boys' School,,Primary,Free Schools,,Muslim,Boys,700,11,18,Mrs Asiyah Ravat,Headteacher,Wellhead Lane,,Perry Barr,Birmingham,West Midlands,B42 2SY,Perry Barr,Perry Barr,1216577070,info@edenboysbirmingham.tetrust.org,http://www.edenboysbirmingham.com/,12/9/16,52.51495260000001,-1.8965703999999999,Eden Boys' School,100.0,4947,1892,4122,4760,4073
2168,Erdington Academy,Kingsbury School and Sports College,Primary,Academy Sponsor Led,,,Mixed,900,11,16,Mr Mark Rhatigan,Head of Academy,Kingsbury Road,Erdington,,Birmingham,West Midlands,B24 8RE,Stockland Green,Erdington,0121 3731080,enquiry@erdingtonacademy.bham.sch.uk,http://www.erdingtonacademy.bham.sch.uk/,9/22/16,52.51586379999999,-1.8372805,,,4338,2704,2756,2481,4212
5410,Fairfax,,Primary,Academy Converter,,,Mixed,1329,11,18,Mrs Deborah Bunn,Head of Academy,Fairfax Road,,,Sutton Coldfield,West Midlands,B75 7JT,Sutton Trinity,Sutton Coldfield,0121 3781288,post@fairfax.bham.sch.uk,http://www.fairfax.bham.sch.uk/,9/27/16,52.56196529999999,-1.796373,Fairfax,250.0,3467,4048,3734,1872,4724
4005,Four Dwellings Academy,Four Dwellings High,Primary,Academy Sponsor Led,,,Mixed,718,11,16,Rebecca Elcocks,Principal,Dwellings Lane,,Quinton,Birmingham,West Midlands,B32 1RJ,Quinton,Edgbaston,0121 5666666,contactus@fourdwellingsacademy.org,http://www.fourdwellingsacademy.org/,7/16/15,52.455563500000004,-2.0029854,Four Dwellings Academy,120.0,4550,1827,1953,1434,1169
5412,George Dixon Academy,George Dixon International School & Sixth Form Centre,Primary,Academy Converter,,,Mixed,1129,11,18,Mr Anthony Hamilton,Headmaster,Portland Road,Edgbaston,,Birmingham,West Midlands,B16 9GD,Harborne,Edgbaston,0121 5666565,contact@georgedixonacademy.com,http://www.georgedixonacademy.com/,12/9/16,52.472237,-1.9366892,George Dixon Academy,180.0,3692,1695,948,4865,3596
5403,Great Barr Academy,Great Barr School,Primary,Academy Converter,,,Mixed,2085,11,18,Mrs Ingrid Abrahams,Headteacher,Aldridge Road,Great Barr,,Birmingham,West Midlands,B44 8NU,Oscott,Perry Barr,0121 3666611,secretariat@greatbarr.bham.sch.uk,http://greatbarracademy.org.uk/,2/27/17,52.548349800000004,-1.9046823,Great Barr School,350.0,675,994,3199,2141,1293
4006,Greenwood Academy,Castle Vale Performing Arts College,Primary,Academy Sponsor Led,,,Mixed,900,11,18,Mr Allen Bird,Principal,Farnborough Road,,Castle Vale,Birmingham,West Midlands,B35 7NL,Tyburn,Erdington,0121 4646101,contactus@greenwoodacademy.org,https://sites.google.com/a/aetinet.org/greenwood-academy/home,10/24/16,52.5230968,-1.7783427,Greenwood Academy,180.0,2553,2312,3645,574,677
5409,Hall Green School,,Primary,Academy Converter,,,Mixed,900,11,16,Mr David Adams,Headteacher,Southam Road,Hall Green,,Birmingham,West Midlands,B28 0AA,Hall Green,Hall Green,0121 6288787,enquiry@hallgreen.bham.sch.uk,http://www.hallgreen.bham.sch.uk/,9/27/16,52.433506099999995,-1.8516528,Hall Green School,180.0,1344,2792,3790,2591,2514
4240,Hamstead Hall Academy,Hamstead Hall Community Learning Centre,Primary,Academy Converter,,,Mixed,1104,11,18,Mr K Morris,Executive Principal,Craythorne Avenue,Handsworth Wood,,Birmingham,West Midlands,B20 1HL,Handsworth Wood,Perry Barr,0121 3867510,postbox@hamsteadhall.com,http://www.hamsteadhall.com,9/27/16,52.5266092,-1.9412766,Hamstead Hall Academy,180.0,3044,4210,3228,3270,2874
5402,Handsworth Grammar School,,Primary,Voluntary Aided School,Yes,,Boys,898,11,18,Mr S N Bird,Headteacher,Grove Lane,Handsworth,,Birmingham,West Midlands,B21 9ET,Lozells and East Handsworth,Perry Barr,0121 5542794,enquiry@handsworth.bham.sch.uk,http://www.handsworth.bham.sch.uk/,2/8/17,52.507461600000006,-1.9316006999999997,Handsworth Grammar School,150.0,1473,2259,1372,1726,2351
4207,Handsworth Wood Girls' Academy,Handsworth Wood Girls' School,Primary,Academy Converter,,,Girls,817,11,18,Ms Nicola Walters,Headteacher,Church Lane,Handsworth,,Birmingham,West Midlands,B20 2HL,Handsworth Wood,Perry Barr,0121 5548122,enquiry@hwga.org.uk,http://www.hwga.org.uk/,9/27/16,52.513789100000004,-1.9336723999999998,Handsworth Wood Girls Academy,160.0,613,981,3696,2250,3782
6910,Harborne Academy,Harborne Hill School,Primary,Academy Sponsor Led,,,Mixed,800,11,19,Mrs Jessie Elbaz,Headteacher,Harborne Road,Edgbaston,,Birmingham,West Midlands,B15 3JL,Edgbaston,Edgbaston,0121 4642737,enquiry@harborneacademy.co.uk,http://www.harborneacademy.co.uk/,2/21/17,52.463497100000005,-1.9373118000000003,Harborne Academy,120.0,4305,4622,654,1061,704
6905,Heartlands Academy,The Heartlands High School,Primary,Academy Sponsor Led,,,Mixed,950,11,18,Miss H Tanner,Interim Headteacher,Gt Francis Street,Nechells,,Birmingham,West Midlands,B7 4QR,Nechells,Ladywood,0121 4643931,heartlands.enquiry@e-act.org.uk,http://www.heartlands-academy.org.uk/,11/28/16,52.487585100000004,-1.8793453000000002,Heartlands Academy,150.0,1915,1208,1296,1201,730
4012,Hillcrest School A Specialist Maths and Computing College and Sixth Form Centre,,Primary,Academy Converter,,,Girls,720,11,18,Miss Julie Ann Davies,Headteacher,Stonehouse Lane,,,Birmingham,West Midlands,B32 3AE,Bartley Green,Edgbaston,0121 4643172,enquiry@hillcrest.bham.sch.uk,http://www.hillcrest.bham.sch.uk/,7/16/15,52.4446895,-1.9777543999999998,Hillcrest School A Specialist Maths and Computing College and Sixth Form Centre,120.0,2460,3487,1572,749,3301
4201,Hodge Hill College,Hodge Hill Sports and Enterprise College,Secondary,Community School,,,Mixed,1200,11,16,Mrs Ann Andersen,Headteacher,Bromford Road,Hodge Hill,,Birmingham,West Midlands,B36 8HB,Hodge Hill,Hodge Hill,0121 7837807,enquiry@hodgehill.bham.sch.uk,http://www.hodgehill.bham.sch.uk/,7/25/16,52.500325600000004,-1.8175728,Hodge Hill College,240.0,598,4069,3182,3317,3846
4015,Hodge Hill Girls' School,,Secondary,Community School,,,Girls,675,11,16,Mrs E M Brown,Headteacher,Bromford Road,,,Birmingham,West Midlands,B36 8EY,Hodge Hill,Hodge Hill,0121 4643094,enquiry@hodgehgs.bham.sch.uk,http://www.hodgehgs.bham.sch.uk/,7/16/15,52.500325600000004,-1.8175728,Hodge Hill Girls School,150.0,3850,1106,4634,3235,2215
4223,Holte School,,Secondary,Community School,,,Mixed,1175,11,18,Mr Jas Sohal,Headteacher,Wheeler Street,Lozells,,Birmingham,West Midlands,B19 2EP,Aston,Ladywood,0121 5237321,enquiry@holte.bham.sch.uk,http://www.holte.bham.sch.uk/,2/10/17,52.499647100000004,-1.90317,Holte School,192.0,1077,1028,3561,3220,2593
4664,Holy Trinity Catholic Media Arts College,,Secondary,Voluntary Aided School,,Catholic,Mixed,630,11,16,Mr Colin Crehan,Head of School,Oakley Road,Small Heath,,Birmingham,West Midlands,B10 0AX,Nechells,Ladywood,0121 7720184,enquiry@holytrc.bham.sch.uk,http://www.holytrc.bham.sch.uk/,3/9/17,52.46805620000001,-1.8628548999999999,Holy Trinity Catholic Media Arts College,126.0,665,561,2440,1427,4004
4241,Holyhead School,,Secondary,Academy Converter,,,Mixed,1250,11,18,Mr Ross Trafford,Principal,Milestone Lane,Handsworth,,Birmingham,West Midlands,B21 0HN,Soho,Ladywood,0121 5231960,enquiry@holyheadschool.org.uk,http://www.holyheadschool.org.uk/,1/10/17,52.504926399999995,-1.9450613999999997,Holyhead School,210.0,1209,2547,2095,4552,4633
4301,John Willmott School,,Secondary,Community School,,,Mixed,1141,11,18,Tracey Peters,Headteacher,Reddicap Heath Road,,,Sutton Coldfield,West Midlands,B75 7DY,Sutton Trinity,Sutton Coldfield,0121 3781946,enquiry@jws.bham.sch.uk,http://www.jws.bham.sch.uk/,8/31/16,52.560667599999995,-1.7992796999999998,John Willmott School,195.0,4688,3978,1459,2122,668
5407,King Edward VI Camp Hill School for Boys,,Secondary,Academy Converter,Yes,Christian,Boys,730,11,18,Mr M J Garrod,Headmaster,Vicarage Road,Kings Heath,,Birmingham,West Midlands,B14 7QJ,Moseley and Kings Heath,Hall Green,0121 4443188,enquiry@camphillboys.bham.sch.uk,http://www.camphillboys.bham.sch.uk/,3/7/16,52.429206799999996,-1.9020099999999998,King Edward VI Camp Hill School for Boys,120.0,2334,2742,664,1391,1033
5406,King Edward VI Camp Hill School for Girls,,Secondary,Academy Converter,Yes,Christian,Girls,896,11,18,Mrs Linda Johnson,Headteacher,Vicarage Road,Kings Heath,,Birmingham,West Midlands,B14 7QJ,Moseley and Kings Heath,Hall Green,0121 4442150,head@kechg.org.uk,http://www.kechg.org.uk/,7/16/15,52.429206799999996,-1.9020099999999998,King Edward VI Camp Hill School for Girls,150.0,1243,3794,3919,2607,1911
5405,King Edward VI Five Ways School,,Secondary,Academy Converter,Yes,Christian,Mixed,1150,11,18,Mrs Y L Wilkinson,Head,Scotland Lane,Bartley Green,,Birmingham,West Midlands,B32 4BT,Bartley Green,Edgbaston,0121 4753535,office@kefw.org,http://www.kefw.org/,12/22/16,52.43225,-2.0019422,King Edward VI Five Ways School,180.0,4844,2441,1928,1056,1913
5404,King Edward VI Handsworth School,,Secondary,Academy Converter,Yes,Christian,Girls,896,11,18,Miss Clare Berry,Headteacher,Rose Hill Road,,,Birmingham,West Midlands,B21 9AR,Lozells and East Handsworth,Perry Barr,0121 5542342,office@kingedwardvi.bham.sch.uk,http://www.kingedwardvi.bham.sch.uk/,8/2/16,52.50179010000001,-1.9234769,King Edward VI Handsworth School,160.0,2805,4001,2572,1890,1153
6906,King Edward VI Sheldon Heath Academy,,Secondary,Academy Sponsor Led,,,Mixed,1350,11,18,Mr John Allen,Principal,Sheldon Heath Road,Sheldon,,Birmingham,West Midlands,B26 2RZ,Sheldon,Yardley,0121 4644428,enquiries@keshacademy.com,http://www.keshacademy.com/,7/16/15,52.4686652,-1.7804731,King Edward VI Sheldon Heath Academy,210.0,2129,2262,2670,1509,2454
5415,King's Norton Boys' School,,Secondary,Foundation School,,,Boys,707,11,18,Mr Paul Woodhouse,Headteacher,Northfield Road,,,Birmingham,West Midlands,B30 1DY,Bournville,Selly Oak,0121 6280010,enquiry@kingsnortonboys.bham.sch.uk,http://www.kingsnortonboys.bham.sch.uk/,12/17/15,52.416725299999996,-1.9401517,Kings Norton Boys School,128.0,2666,2027,2455,3786,3562
4063,Kings Heath Boys,Kings Heath Boys Mathematics and Computing College,Secondary,Community School,,,Boys,600,11,16,Mrs Bernadette Przybek,Headteacher,Chamberlain Road,,,Birmingham,West Midlands,B13 0QP,Billesley,Selly Oak,0121 4644454,enquiry@khb.bham.sch.uk,http://www.kingsheathboys.co.uk/,1/14/16,52.423625,-1.8825977999999999,Kings Heath Boys,120.0,3515,2688,2891,1620,2229
5414,Kings Norton Girls' School,,Secondary,Academy Converter,,,Girls,935,11,18,Ms G Fox,Headteacher,Selly Oak Road,,,Birmingham,West Midlands,B30 1HW,Bournville,Selly Oak,0121 6751305,enquiry@kngs.co.uk,http://www.kngs.co.uk/,9/27/16,52.419935100000004,-1.9372493999999998,Kings Norton Girls' School,160.0,674,4677,995,2387,1694
4057,Lordswood Boys' School,,Secondary,Academy Converter,,,Boys,733,11,18,Dr George Koutsou,Headteacher,Hagley Road,,,Birmingham,West Midlands,B17 8BJ,Harborne,Edgbaston,0121 4642837,lbs-enquiry@lordswoodtrust.co.uk,http://www.lordswoodboys.co.uk/,12/2/16,52.4733884,-1.9644138,Lordswood Boys' School,130.0,1550,1499,3061,1577,2244
4060,Lordswood Girls' School and Sixth Form Centre,,Secondary,Academy Converter,,,Girls,880,11,18,Mrs Jane Gotschel,Headteacher,Knightlow Road,Harborne,,Birmingham,West Midlands,B17 8QB,Harborne,Edgbaston,0121 4292838,lgs-enquiry@lordswoodtrust.co.uk,http://www.lordswoodgirls.co.uk/,9/27/16,52.46842710000001,-1.9605063999999999,Lordswood Girls' School and Sixth Form Centre,154.0,2794,1506,2191,2644,4750
4245,Moseley School,,Secondary,Foundation School,,,Mixed,1475,11,18,Mr Roger McBrien,Headteacher,Wake Green Road,Moseley,,Birmingham,West Midlands,B13 9UU,Springfield,Hall Green,0121 5666444,enquiry@moseley.bham.sch.uk,http://www.moseley.bham.sch.uk/,11/3/16,52.4386231,-1.8630918,Moseley School,250.0,1116,838,2757,2940,1912
5411,"Ninestiles, an Academy",Ninestiles School,Secondary,Academy Converter,,,Mixed,1550,11,18,Mrs Sian Hartle,Principal,Hartfield Crescent,Acocks Green,,Birmingham,West Midlands,B27 7QG,Acocks Green,Yardley,0121 6281311,enquiry@ninestiles.org.uk,http://www.ninestiles.org.uk/,11/22/16,52.4398981,-1.8321140999999999,"Ninestiles School, an Academy",300.0,933,2361,1777,3063,864
4004,Nishkam High School,,Secondary,Free Schools,,Sikh,Mixed,700,11,19,Mr Damien Kearns,Principal,Great King Street North,,,Birmingham,West Midlands,B19 2LF,Aston,Ladywood,0121 3487660,enquiries@nishkamhigh.org,http://www.nishkamschooltrust.org/,9/27/16,52.494897200000004,-1.9060025,Nishkam High School,100.0,784,1710,2810,3549,2018
6909,North Birmingham Academy,,Secondary,Academy Sponsor Led,,,Mixed,1150,11,19,Mr Phillip Lloyd,Principal,395 College Road,,Erdington,Birmingham,West Midlands,B44 0HF,Kingstanding,Erdington,0121 3731647,enquiry@nbacademy.org.uk,http://www.nbacademy.org.uk/,10/11/16,52.5344152,-1.8779043000000002,North Birmingham Academy,180.0,4165,1882,2031,1367,949
4002,Perry Beeches II The Free School,,Secondary,Free Schools,,,Mixed,620,11,18,Mr Kevin Rogers,Headteacher,Newhall Street,Ladywood,,Birmingham,West Midlands,B3 1SJ,Ladywood,Ladywood,0121 2708090,enquiries@perrybeechesii.co.uk,http://www.perrybeechesii.co.uk/,12/2/16,52.4823125,-1.9036322,Perry Beeches II the Free School,100.0,1807,2229,1777,1572,3420
4011,Perry Beeches III The Free School,,Secondary,Free Schools,,,Mixed,620,11,19,Mr Andy Brant,Headteacher,23 Langley Walk,Ladywood,,Birmingham,West Midlands,B15 2EF,Ladywood,Ladywood,0121 6472760,enquiries@perrybeechesiii.co.uk,http://www.perrybeechesiii.co.uk/,2/28/17,52.4727184,-1.9067638,Perry Beeches III the Free School,100.0,2752,823,985,1567,1570
4016,Perry Beeches IV - The Free School,,Secondary,Free Schools,,,Mixed,620,11,16,Mr Russell Bond,Headteacher,"St George's Court, 1 Albion Street",Ladywood,,Birmingham,West Midlands,B1 3AA,Ladywood,Ladywood,0121 2893944,enquiries@perrybeechesiv.co.uk,http://www.perrybeechesiv.co.uk/,2/3/17,52.4845858,-1.9150424966514599,Perry Beeches IV - The Free School,100.0,3715,4793,2621,1677,3174
4109,Perry Beeches the Academy,Perry Beeches School,Secondary,Academy Converter,,,Mixed,900,11,16,Mrs Ese Adeoye,Acting Headteacher,Beeches Road,,,Birmingham,West Midlands,B42 2PY,Oscott,Perry Barr,0121 3604242,enquiry@perrybs.bham.sch.uk,http://www.perrybs.bham.sch.uk/,11/24/16,52.5381936,-1.9109904999999998,Perry Beeches the Academy,180.0,3989,1099,3209,4163,4594
4331,Plantsbrook School,,Secondary,Academy Converter,,,Mixed,1218,11,18,Ms Tracy Campbell,Headteacher,Upper Holland Road,,,Sutton Coldfield,West Midlands,B72 1RB,Sutton Trinity,Sutton Coldfield,0121 3627310,enquiry@plantsbrookschool.co.uk,http://web.plantsbrookschool.co.uk/,2/13/17,52.5590201,-1.8205324,Plantsbrook School,240.0,1280,3675,4181,4550,2981
4173,Queensbridge School,,Secondary,Foundation School,,,Mixed,847,11,16,Mrs Helen Reeves,Headteacher,Queensbridge Road,Moseley,,Birmingham,West Midlands,B13 8QB,Moseley and Kings Heath,Hall Green,0121 4645566,enquiry@queensbridge.bham.sch.uk,http://www.queensbridge.bham.sch.uk/,8/11/15,52.4414951,-1.897095,Queensbridge School,170.0,1230,3933,1492,2949,1487
4323,Rockwood Academy,Park View School the Academy of Mathematics and Science,Secondary,Academy Converter,,,Mixed,600,11,16,Fuzel Choudhury,Principal,Naseby Road,Alum Rock,,Birmingham,West Midlands,B8 3HG,Washwood Heath,Hodge Hill,0121 5666500,enquiry@rockwood-academy.co.uk,http://www.rockwood-academy.co.uk/,4/21/16,52.491548,-1.84533,Rockwood Academy,120.0,4762,3697,2640,3200,4421
4018,Saltley Academy,Saltley School and Specialist Science College,Secondary,Academy Sponsor Led,,,Mixed,1050,11,16,Mr Peter Weir,Head of School,Belchers Lane,Bordesley Green,,Birmingham,West Midlands,B9 5RX,Bordesley Green,Hodge Hill,0121 5666555,saltley@saltley.bham.sch.uk,http://saltleyacademy.co.uk/,1/17/17,52.482347,-1.8319459999999999,Saltley Academy,210.0,942,2765,1480,883,4194
4177,Selly Park Technology College for Girls,,Secondary,Community School,,,Girls,700,11,16,Miss Michelle Magrs,Headteacher,5 Selly Park Road,Selly Park,,Birmingham,West Midlands,B29 7PH,Selly Oak,Selly Oak,0121 4721238,enquiry@sellyprk.bham.sch.uk,http://www.sellyprk.bham.sch.uk/,7/16/15,52.4365194,-1.9188355603342802,Selly Park Technology College For Girls,140.0,3392,4158,701,2093,2594
6907,Shenley Academy,Shenley Court Specialist Arts College & Sixth Form Centre,Secondary,Academy Sponsor Led,,,Mixed,1150,11,19,Mrs Lucy Monk,Principal,Shenley Lane,,Northfield,Birmingham,West Midlands,B29 4HE,Bartley Green,Edgbaston,0121 4645191,enquiry@shenleyacademy.org.uk,http://www.shenleyacademy.org.uk,11/2/16,52.4337353,-1.976187,Shenley Academy,180.0,2177,632,1928,1471,4006
5401,Small Heath School,,Secondary,Foundation School,,,Mixed,1322,11,18,Mr Tony Wilson,Headteacher,Muntz Street,Small Heath,,Birmingham,West Midlands,B10 9RX,Nechells,Ladywood,0121 4647997,mail@smallheathschool.org.uk,http://www.smallheathschool.org.uk/,8/9/16,52.4715587,-1.8559197,Small Heath School,210.0,4283,3136,4020,1176,1473
4663,St Edmund Campion Catholic School & Sixth Form Centre,,Secondary,Voluntary Aided School,,Catholic,Mixed,1043,11,18,Mrs Philomena Steele,Headteacher,Sutton Road,Erdington,,Birmingham,West Midlands,B23 5XA,Erdington,Erdington,0121 4647700,enquiry@stedcamp.bham.sch.uk,http://www.stedcamp.bham.sch.uk/,2/12/16,52.529407299999995,-1.8339017,St Edmund Campion Catholic School & Sixth Form Centre,186.0,634,4502,4894,3641,3697
4625,St John Wall Catholic School,St John Wall Catholic School - A Specialist Humanities College,Secondary,Voluntary Aided School,,Catholic,Mixed,600,11,16,Mr A Quinn,Executive Headteacher,Oxhill Road,Handsworth,,Birmingham,West Midlands,B21 8HH,Handsworth Wood,Perry Barr,0121 5541825,enquiry@sjw.bham.sch.uk,http://www.sjw.bham.sch.uk/,1/30/17,52.5142978,-1.9468591,St John Wall Catholic School - A Specialist Humanities College,120.0,3510,4927,3340,2295,2061
4606,St Paul's School for Girls,,Secondary,Voluntary Aided School,,Catholic,Girls,964,11,18,Dr Dawn Casserly,Headteacher,Vernon Road,Edgbaston,,Birmingham,West Midlands,B16 9SL,Edgbaston,Edgbaston,0121 4540895,enquiry@stpaulgl.bham.sch.uk,http://www.stpaulgl.bham.sch.uk/page_viewer.asp?page=Home&pid=1,7/26/16,52.475163,-1.9414580000000001,St Paul's School for Girls,165.0,604,3950,1652,638,1006
4616,St Thomas Aquinas Catholic School,,Secondary,Academy Converter,,Catholic,Mixed,1239,11,18,Miss Clare Madden,Headteacher,Wychall Lane,Kings Norton,,Birmingham,West Midlands,B38 8AP,Kings Norton,Northfield,0121 4644643,enquiry@stacs.bham.sch.uk,http://www.stacs.org/,8/8/16,52.4088973,-1.9473535,St Thomas Aquinas Catholic School,210.0,1911,2236,2193,3817,1315
